Name,RA,Dec,Mag,Const
Acamar,02h58m16s,-40°18',3.2,Eri
Achernar,01h37m43s,-57°14',0.5,Eri
Achird,00h49m6s,+57°49',3.4,Cas
Acrux,12h26m36s,-63°06',1.3,Cru
Acubens,08h58m29s,+11°51',4.3,Cnc
Adhafera,10h16m41s,+23°25',3.4,Leo
Adhara,06h58m38s,-28°58',1.5,CMa
Adhil,01h22m20s,+45°32',4.9,And
Ain,04h28m37s,+19°11',3.5,Tau
Alaraph,11h50m42s,+01°46',3.6,Vir
Albali,20h47m41s,-09°30',3.8,Aqr
Albireo,19h30m43s,+27°58',3.1,Cyg
Alchibah,12h8m25s,-24°44',4,Crv
Alcor,13h25m14s,+54°59',4,UMa
Alcyone,03h47m29s,+24°06',2.9,Tau
Aldebaran,04h35m55s,+16°31',0.9,Tau
Alderamin,21h18m35s,+62°35',2.4,Cep
Aldhanab,21h53m56s,-37°22',3,Gru
Alfecca Meridiana,19h9m28s,-37°54',4.1,CrA
Alfirk,21h28m40s,+70°34',3.2,Cep
Algenib,00h13m14s,+15°11',2.8,Peg
Algieba,10h19m58s,+19°51',2.6,Leo
Algol,03h8m10s,+40°57',2.1,Per
Algorab,12h29m52s,-16°31',3,Crv
Alhaud,09h32m51s,+51°41',3.2,UMa
Alhena,06h37m43s,+16°24',1.9,Gem
Alioth,12h54m2s,+55°58',1.8,UMa
Alkaid,13h47m32s,+49°19',1.9,UMa
Alkalurops,15h24m29s,+37°23',4.3,Boo
Alkes,10h59m46s,-18°18',4.1,Crt
Almach,02h3m54s,+42°20',2.3,And
Alnair,22h8m14s,-46°58',1.7,Gru
Alnilam,05h36m13s,-01°12',1.7,Ori
Alnitak,05h40m45s,-01°57',2.1,Ori
Alniyat,16h21m11s,-25°36',2.9,Sco
Alpha Centauri,14h39m36s,-60°50',1.3,Cen
Alphard,09h27m35s,-08°40',2,Hya
Alphecca,15h34m49s,+26°42',2.2,CrB
Alpheratz,00h8m23s,+29°05',2.1,And
Alrai,23h39m21s,+77°38',3.2,Cep
Alrescha,02h2m3s,+02°46',4.3,Psc
Alsaphi,19h32m22s,+69°40',4.7,Dra
Alsciaukat,08h22m50s,+43°11',4.3,Lyn
Alshain,19h55m19s,+06°24',3.7,Aql
Altair,19h50m47s,+08°52',0.8,Aql
Altais,19h12m33s,+67°40',3.1,Dra
Alterf,09h31m43s,+22°58',4.3,Leo
Aludra,07h24m6s,-29°18',2.5,CMa
Alula Australis,11h18m11s,+31°32',3.8,UMa
Alula Borealis,11h18m29s,+33°06',3.5,UMa
Alwaid,17h30m26s,+52°18',2.8,Dra
Alya,18h56m13s,+04°12',4.6,Ser
Ancha,22h16m50s,-07°47',4.2,Aqr
Angetenar,03h19m31s,-21°45',3.7,Eri
Ankaa,00h26m17s,-42°18',2.4,Phe
Anser,19h28m42s,+24°40',4.4,Vul
Antares,16h29m24s,-26°26',1,Sco
Arcturus,14h15m40s,+19°11',0,Boo
Arkab,19h22m38s,-44°28',4,Sgr
Arneb,05h32m44s,-17°49',2.6,Lep
Arrakis,17h5m20s,+54°28',5.8,Dra
Ascella,19h2m37s,-29°53',2.6,Sgr
Asellus Australis,08h44m41s,+18°09',3.9,Cnc
Asellus Borealis,08h43m17s,+21°28',4.7,Cnc
Asmidiske,07h49m18s,-24°52',3.3,Pup
Atik,03h54m8s,+31°53',2.9,Per
Atria,16h48m40s,-69°02',1.9,TrA
Auva,12h55m36s,+03°24',3.4,Vir
Avior,08h22m31s,-59°31',1.9,Car
Azha,02h56m26s,-08°54',3.9,Eri
Baham,22h10m12s,+06°12',3.5,Peg
Baten Kaitos,01h51m28s,-10°20',3.7,Cet
Beid,04h11m52s,-06°50',4,Eri
Bellatrix,05h25m8s,+06°21',1.6,Ori
Betelgeuse,05h55m10s,+07°24',0.5,Ori
Botein,03h11m38s,+19°44',4.4,Ari
Canopus,06h23m57s,-52°42',-0.7,Car
Capella,05h16m41s,+46°00',0.1,Aur
Caph,00h9m11s,+59°09',2.3,Cas
Castor,07h34m36s,+31°53',2,Gem
Celbalrai,17h43m28s,+04°34',2.8,Oph
Chara,12h33m45s,+41°21',4.3,CVn
Chort,11h14m14s,+15°26',3.3,Leo
Cor Caroli,12h56m2s,+38°19',2.9,CVn
Cujam,16h25m25s,+14°02',4.6,Her
Cursa,05h7m51s,-05°05',2.8,Eri
Dabih,20h21m1s,-14°47',3.1,Cap
Deneb,20h41m26s,+45°17',1.3,Cyg
Deneb Algiedi,21h47m2s,-16°08',2.9,Cap
Denebola,11h49m4s,+14°34',2.1,Leo
Diadem,13h9m59s,+17°32',5.2,Com
Diphda,00h43m35s,-17°59',2,Cet
Dnoces,08h59m12s,+48°03',3.1,UMa
Dschubba,16h0m20s,-22°37',2.3,Sco
Dubhe,11h3m44s,+61°45',1.8,UMa
Dziban,17h41m56s,+72°09',4.6,Dra
Edasich,15h24m56s,+58°58',3.3,Dra
El Nath,05h26m18s,+28°36',1.7,Tau
Eltanin,17h56m36s,+51°29',2.2,Dra
Enif,21h44m11s,+09°53',2.4,Peg
Fomalhaut,22h57m39s,-29°37',1.2,PsA
Fornacis,03h12m4s,-28°59',3.9,For
Furud,06h20m19s,-30°04',3,CMa
Gacrux,12h31m10s,-57°07',1.6,Cru
Giauzar,11h31m24s,+69°20',3.8,Dra
Giedi,20h18m3s,-12°33',3.6,Cap
Gienah,12h15m48s,-17°33',2.6,Crv
Gomeisa,07h27m9s,+08°17',2.9,CMi
Graffias,16h5m26s,-19°48',2.6,Sco
Grumium,17h53m32s,+56°52',3.8,Dra
Hadar ,14h3m49s,-60°22',0.6,Cen
Hamal,02h7m10s,+23°28',2,Ari
Heze,13h34m42s,-00°36',3.4,Vir
Homam,22h41m28s,+10°50',3.4,Peg
Izar,14h44m59s,+27°04',2.7,Boo
Jabbah,16h11m60s,-19°28',4,Sco
Kaffaljidhm,02h43m18s,+03°14',3.5,Cet
Kaus Australis,18h24m10s,-34°23',1.9,Sgr
Kaus Borealis,18h27m58s,-25°25',2.8,Sgr
Kaus Media,18h20m60s,-29°50',2.7,Sgr
Keid,04h15m16s,-07°39',4.4,Eri
Kekwan,14h59m10s,-42°06',3.1,Cen
Kitalpha,21h15m49s,+05°15',3.9,Equ
Kochab,14h50m42s,+74°09',2.1,UMi
Kornephoros,16h30m13s,+21°29',2.8,Her
Kraz,12h34m23s,-23°24',2.7,Crv
Kurah,22h3m47s,+64°38',4.3,Cep
Lesuth,17h30m46s,-37°18',2.7,Sco
Maasym,16h8m4s,+17°03',5,Her
Maaz,05h1m58s,+43°49',3,Aur
Marfik,16h30m55s,+01°59',3.8,Oph
Markab,23h4m46s,+15°12',2.5,Peg
Matar,22h43m0s,+30°13',2.9,Peg
Mebsuta,06h43m56s,+25°08',3,Gem
Megrez,12h15m26s,+57°02',3.3,UMa
Meissa,05h35m8s,+09°56',3.5,Ori
Mekbuda,07h4m6s,+20°34',3.8,Gem
Menkalinan,05h59m32s,+44°57',1.9,Aur
Menkar,03h2m17s,+04°05',2.5,Cet
Menkent,14h6m41s,-36°22',2.1,Cen
Menkib,03h58m58s,+35°47',4,Per
Merak,11h1m51s,+56°23',2.4,UMa
Mesarthim,01h53m32s,+19°18',4.8,Ari
Miaplacidus,09h13m12s,-69°43',1.7,Car
Mimosa,12h47m43s,-59°41',1.3,Cru
Minhar al Shuja,08h38m45s,+03°20',4.5,Hya
Minkar,12h10m4s,-22°37',3,Crv
Mintaka,05h32m0s,-00°18',2.2,Ori
Mira,02h19m21s,-02°59',3,Cet
Mirach,01h9m44s,+35°37',2.1,And
Mirfak,03h24m19s,+49°52',1.8,Per
Mirzam,06h22m42s,-17°57',2,CMa
Mizar,13h23m56s,+54°56',2.3,UMa
Mothallah,01h53m5s,+29°35',3.4,Tri
Muhlifain,12h41m31s,-48°58',2.2,Cen
Muliphein,07h3m45s,-15°38',4.1,CMa
Mululizu,15h0m58s,-08°31',5,Lib
Muphrid,13h54m41s,+18°24',2.7,Boo
Muscida,08h30m16s,+60°43',3.4,UMa
Nair Saif,05h35m26s,-05°55',2.8,Ori
Naos,08h3m35s,-40°00',2.3,Pup
Nashira,21h40m6s,-16°40',3.7,Cap
Nasl,18h5m48s,-30°25',3,Sgr
Navi,01h54m24s,+63°40',3.4,Cas
Nekkar,15h1m57s,+40°23',3.5,Boo
Nihal,05h28m15s,-20°46',2.8,Lep
Nunki,18h55m16s,-26°18',2.1,Sgr
Nusakan,15h27m50s,+29°06',3.7,CrB
Peacock,20h25m39s,-56°44',1.9,Pav
Phact,05h39m39s,-34°04',2.6,Col
Phad,11h53m50s,+53°42',2.4,UMa
Pherkad,15h20m44s,+71°50',3.1,UMi
Polaris,02h31m49s,+89°16',2,UMi
Polaris Australis,21h8m47s,-88°57',5.4,Oct
Pollux,07h45m19s,+28°02',1.1,Gem
Porrima,12h41m40s,-01°27',3.7,Vir
Praecipua,10h53m19s,+34°13',3.8,LMi
Prijipati,05h59m32s,+54°17',3.7,Aur
Procyon,07h39m18s,+05°14',0.4,CMi
Propus,06h14m53s,+22°30',3.3,Gem
Rana,03h43m15s,-09°46',3.5,Eri
Rasalas,09h52m46s,+26°00',3.9,Leo
Rasalgethi,17h14m39s,+14°23',3.5,Her
Rasalhague,17h34m56s,+12°34',2.1,Oph
Rastaban,17h30m26s,+52°18',2.8,Dra
Regor,08h9m32s,-47°20',1.8,Vel
Regulus,10h8m22s,+11°58',1.4,Leo
Rigel,05h14m32s,-08°12',0.1,Ori
Rotanev,20h37m33s,+14°36',3.6,Del
Rukbah,01h25m49s,+60°14',2.7,Cas
Rukbat,19h23m53s,-40°37',4,Sgr
Sabik,17h10m23s,-15°43',2.4,Oph
Sadachbia,22h21m39s,-01°23',3.8,Aqr
Sadalbari,22h50m0s,+24°36',3.5,Peg
Sadalmelik,22h5m47s,-00°19',3,Aqr
Sadalsuud,21h31m33s,-05°34',2.9,Aqr
Sadr,20h22m14s,+40°15',2.2,Cyg
Saiph,05h47m45s,-09°40',2.1,Ori
Sargas,17h37m19s,-43°00',1.9,Sco
Sarin,17h15m2s,+24°50',3.1,Her
Scheat,23h3m47s,+28°05',2.4,Peg
Schedar,00h40m30s,+56°32',2.2,Cas
Schemali,00h19m26s,-08°49',3.6,Cet
Scutulum,09h17m5s,-59°17',2.3,Car
Seginus,14h32m5s,+38°18',3,Boo
Sham,19h40m6s,+18°01',4.4,Sge
Shaula,17h33m36s,-37°06',1.6,Sco
Shelyak,18h50m5s,+33°22',3.5,Lyr
Sheratan,01h54m38s,+20°48',2.6,Ari
Sirius,06h45m9s,-16°43',-1.5,CMa
Situla,23h16m51s,-07°44',5,Aqr
Skat,22h54m39s,-15°49',3.3,Aqr
Spica,13h25m12s,-11°10',1,Vir
Sualocin,20h39m38s,+15°55',3.8,Del
Suhail,09h7m60s,-43°26',2.2,Vel
Sulaphat,18h58m57s,+32°41',3.2,Lyr
Syrma,14h16m1s,-06°00',4.1,Vir
Talitha Australis,09h3m38s,+47°09',3.6,UMa
Tania Australis,10h22m20s,+41°30',3.1,UMa
Tania Borealis,10h17m6s,+42°55',3.5,UMa
Tarazed,19h46m16s,+10°37',2.7,Aql
Tarf,08h16m31s,+09°11',3.5,Cnc
Tchou,17h31m51s,-49°53',3,Ara
Tegmine,08h7m46s,+21°35',5.3,Cnc
Tejat,06h22m58s,+22°31',2.9,Gem
Thabit,05h31m56s,-07°18',4.6,Ori
Thuban,14h4m23s,+64°23',3.7,Dra
Tsih,00h56m42s,+60°43',2.5,Cas
Tsze,05h53m7s,-33°48',4.9,Col
Tyl,19h48m10s,+70°16',3.8,Dra
Ukdah,09h29m9s,-02°46',4.6,Hya
Unukalhai,15h44m16s,+06°26',2.7,Ser
Vega,18h36m56s,+38°47',0,Lyr
Vindemiatrix,13h2m11s,+10°58',2.8,Vir
Wasat,07h20m7s,+21°59',3.5,Gem
Wazn,05h50m58s,-35°46',3.1,Col
Wezen,07h8m24s,-26°24',1.8,CMa
Yed Posterior,16h18m19s,-04°42',3.2,Oph
Yed Prior,16h14m21s,-03°42',2.7,Oph
Yildun,17h32m13s,+86°35',4.4,UMi
Zaniah,12h19m54s,-00°40',3.9,Vir
Zaurac,03h58m2s,-13°31',3,Eri
Zibal,03h15m50s,-08°49',4.8,Eri
Zosma,11h14m6s,+20°31',2.6,Leo
Zubenelgenubi,14h50m53s,-16°03',2.8,Lib
Zubenelhakrabi,15h35m32s,-14°47',3.9,Lib
Zubeneshamali,15h17m0s,-09°23',2.6,Lib
